,method,basis,a_min,a_min_corrected,B,B_corrected,E_coh,E_coh_corrected
0,HF,tzv2p,3.727261321880609,3.727261321880609,0.07631411964719459,0.07631411964719459,-0.02174846772026225,-0.02174846772026225
0,CCSD,tzv2p,3.506460014296584,3.5064600214882673,0.11635250066386672,0.11635250383935293,-0.05067560828303389,-0.05066379498565543
0,DCSD,tzv2p,3.494883248887855,3.494883285375975,0.11885813741384926,0.1188581592471502,-0.053761965073303844,-0.05388373645416196
0,CCSDT,tzv2p,3.4965494067594705,3.496549420853845,0.11897372425650048,0.11897374137486633,-0.05517009689009676,-0.055291868256889865
0,CCSDT1b_ring,tzv2p,3.4825495769285477,3.4825495777869375,0.12005815411785956,0.12005815417722943,-0.05568918651346336,-0.055810957871558924
0,DCSDT,tzv2p,3.495026852201062,3.4950268928676844,0.11972160386499077,0.11972162314458921,-0.05566217783880368,-0.05578394921236127
0,CCSDTviaCCSD,tzv2p,3.496230618914094,3.4962306154588054,0.11921153770856571,0.11921153398393382,-0.05413953756541174,-0.054127724266724735
0,CCSDT1b_ringviaCCSD,tzv2p,3.4822500313161537,3.482250034084722,0.12031942385319361,0.1203194209545217,-0.05465881369664625,-0.05464700039215584
0,HF,qzv3p,3.690336765657329,3.690336765657329,0.0895996222265496,0.0895996222265496,-0.02149532457338974,-0.02149532457338974
0,CCSD,qzv3p,3.4860802492820895,3.4860802482780056,0.12849602139145286,0.12849602244562822,-0.05089393654346288,-0.0508821232433949
0,DCSD,qzv3p,3.4760140505973496,3.476014048085117,0.13044057621974367,0.13044057972169684,-0.05404968220222763,-0.054171453561834844
0,CCSDT,qzv3p,3.477532296716155,3.4775324064063646,0.13103360847699091,0.13103354271193324,-0.05547349935931617,-0.055595270653141265
0,CCSDT1b_ring,qzv3p,3.4649600679566515,3.464960087182662,0.13092635509093317,0.13092633733563722,-0.056040117678227114,-0.056161889021123436
0,DCSDT,qzv3p,3.4759239327403932,3.475923924307808,0.13094545871458388,0.130945467738702,-0.05596900444513384,-0.05609077581099323
0,CCSDTviaCCSD,qzv3p,3.476642906237083,3.476642874462014,0.13163174885314222,0.13163177226545844,-0.05439402892735172,-0.05438221566895196
0,CCSDT1b_ringviaCCSD,qzv3p,3.4641028697220024,3.4641028749736673,0.13157997033139168,0.13157995807131467,-0.054961160650609124,-0.05494934734236126
0,HF,cbs,3.690336765657329,3.690336765657329,0.0895996222265496,0.0895996222265496,-0.02149532457338974,-0.02149532457338974
0,CCSD,cbs,3.482733239125482,3.482733221454731,0.1294310161111129,0.12943102044750565,-0.051095752063701864,-0.051083938756480825
0,DCSD,cbs,3.4732200874906987,3.473220107928896,0.13107903019273032,0.13107901158561372,-0.054296380781929894,-0.05441815212468103
0,CCSDT,cbs,3.4748162354527596,3.4748162312835102,0.13183063768923486,0.13183064170940686,-0.05573237422962384,-0.055854145590213664
0,CCSDT1b_ring,cbs,3.4625756519196993,3.4625756895174775,0.1307013494166547,0.1307012900295828,-0.05632706068274723,-0.05644883197159926
0,DCSDT,cbs,3.4728850370411015,3.4728850471672352,0.13143648157093096,0.13143647217414006,-0.05622982070019652,-0.05635159204902519
0,CCSDTviaCCSD,cbs,3.4734962082038834,3.47349621347602,0.13269036202578988,0.13269035739102455,-0.05461720728271273,-0.0546053939788525
0,CCSDT1b_ringviaCCSD,cbs,3.46128638522824,3.461286383186083,0.13162296004217097,0.1316229633789361,-0.05521264577397513,-0.05520083247453171
