,rs,baldereschi,N,M,E_CCSD_corr,E_CCSD_s_corr,E_CCSD_os_corr,E_CCSDT_corr,E_CCSDT_s_corr,E_CCSDT_os_corr,E_DCSD_corr,E_DCSD_s_corr,E_DCSD_os_corr,E_CCSDT_pt_corr,E_CCSDT_1_corr,E_CCSDT_1_s_corr,E_CCSDT_1_os_corr,E_MP2_corr,E_MP2_s_corr,E_MP2_os_corr,E_CCSDT_rt_corr,E_CCSDT_rt_s_corr,E_CCSDT_rt_os_corr
79,4.0,True,1224,1850,,,,,,,,,,,,,,-19.286204405113885,-8.941841295240529,-10.344363109873354,,,
80,4.0,True,1260,1850,,,,,,,,,,,,,,-18.54801464440768,-8.618347393474814,-9.929667250932866,,,
81,4.0,True,1260,1892,,,,,,,,,,,,,,-19.9687614398564,-9.269801855852329,-10.69895958400407,,,
82,4.0,True,1260,1916,,,,,,,,,,,,,,-20.520194666513508,-9.512984465240296,-11.00721020127321,,,
83,4.0,True,1308,1916,,,,,,,,,,,,,,-19.46510895666305,-9.048039728498656,-10.417069228164394,,,
84,4.0,True,1308,1946,,,,,,,,,,,,,,-20.42548983856004,-9.48688672770491,-10.938603110855128,,,
85,4.0,True,1308,2006,,,,,,,,,,,,,,-22.280743327880675,-10.330956769073085,-11.949786558807592,,,
86,4.0,True,1350,2006,,,,,,,,,,,,,,-21.137549017180746,-9.822498853895189,-11.31505016328556,,,
87,4.0,True,1350,2036,,,,,,,,,,,,,,-22.218748980504863,-10.320274008037774,-11.898474972467092,,,
88,4.0,True,1350,2060,,,,,,,,,,,,,,-23.024199410363355,-10.68908616452032,-12.335113245843036,,,
89,4.0,True,1380,2036,,,,,,,,,,,,,,-21.219109005792667,-9.872381635649385,-11.346727370143284,,,
90,4.0,True,1380,2060,,,,,,,,,,,,,,-22.033822296057263,-10.245697838666338,-11.788124457390929,,,
91,4.0,True,1380,2120,,,,,,,,,,,,,,-23.88392382866948,-11.087157196234315,-12.79676663243516,,,
92,4.0,True,1404,2060,,,,,,,,,,,,,,-21.51414700524719,-10.021191861199858,-11.492955144047333,,,
93,4.0,True,1404,2120,,,,,,,,,,,,,,-23.557521356535283,-10.958226429486524,-12.59929492704876,,,
94,4.0,True,1404,2138,,,,,,,,,,,,,,-24.05020293889599,-11.179906922188875,-12.870296016707114,,,
95,4.0,True,1458,2138,,,,,,,,,,,,,,-22.337635572512063,-10.410631386118018,-11.927004186394049,,,
96,4.0,True,1458,2186,,,,,,,,,,,,,,-23.852436345673503,-11.102231919937212,-12.75020442573629,,,
97,4.0,True,1476,2186,,,,,,,,,,,,,,-23.040896419218846,-10.733356460583186,-12.307539958635662,,,
98,4.0,True,1476,2252,,,,,,,,,,,,,,-25.119334386184025,-11.680665328576046,-13.438669057607976,,,
99,4.0,True,1502,2252,,,,,,,,,,,,,,-24.127940998220545,-11.230055106873357,-12.897885891347189,,,
100,4.0,True,1502,2276,,,,,,,,,,,,,,-24.68654670667875,-11.476990029652892,-13.20955667702586,,,
101,4.0,True,1538,2252,,,,,,,,,,,,,,-23.637789466824064,-11.028613636656765,-12.6091758301673,,,
102,4.0,True,1538,2276,,,,,,,,,,,,,,-24.42981767526344,-11.39074801535498,-13.039069659908458,,,
103,4.0,True,1538,2332,,,,,,,,,,,,,,-26.321155359895496,-12.2568761700159,-14.064279189879596,,,
104,4.0,True,1538,2362,,,,,,,,,,,,,,-27.30280732861631,-12.70451142718344,-14.59829590143287,,,
105,4.0,True,1568,2332,,,,,,,,,,,,,,-25.84581177838312,-12.05882865958834,-13.786983118794776,,,
106,4.0,True,1568,2362,,,,,,,,,,,,,,-26.825159069290123,-12.504743337810076,-14.320415731480049,,,
107,4.0,True,1568,2392,,,,,,,,,,,,,,-27.64961902841923,-12.874958921942858,-14.774660106476372,,,
108,4.0,True,1622,2392,,,,,,,,,,,,,,-26.56643932657088,-12.408304116625503,-14.158135209945378,,,
109,4.0,True,1622,2452,,,,,,,,,,,,,,-28.660074510613743,-13.370190744949015,-15.289883765664728,,,
110,4.0,True,1622,2488,,,,,,,,,,,,,,-29.81824463811875,-13.89806191842631,-15.92018271969244,,,
111,4.0,True,1676,2452,,,,,,,,,,,,,,-27.433288818543787,-12.833344578308832,-14.599944240234953,,,
112,4.0,True,1676,2488,,,,,,,,,,,,,,-28.775223551000288,-13.453088512627598,-15.32213503837269,,,
113,4.0,True,1676,2512,,,,,,,,,,,,,,-29.5986630982982,-13.830341072973162,-15.768322025325036,,,
114,4.0,True,1676,2536,,,,,,,,,,,,,,-30.27162180968821,-14.13435171902688,-16.137270090661325,,,
115,4.0,True,1694,2488,,,,,,,,,,,,,,-27.82801487715922,-13.016447609582173,-14.811567267577049,,,
116,4.0,True,1694,2512,,,,,,,,,,,,,,-28.65071352391796,-13.393282638747904,-15.25743088517005,,,
117,4.0,True,1694,2536,,,,,,,,,,,,,,-29.31443108189412,-13.693179003111617,-15.6212520787825,,,
118,4.0,True,1694,2608,,,,,,,,,,,,,,-31.32570446181893,-14.59998158434975,-16.725722877469178,,,
119,4.0,True,1718,2512,,,,,,,,,,,,,,-28.001633115675205,-13.10307470922208,-14.898558406453123,,,
120,4.0,True,1718,2536,,,,,,,,,,,,,,-28.88769612015001,-13.512766742773357,-15.374929377376665,,,
121,4.0,True,1718,2608,,,,,,,,,,,,,,-30.97893443050745,-14.45936975946427,-16.51956467104318,,,
122,4.0,True,1718,2638,,,,,,,,,,,,,,-31.92237438954457,-14.88937154196998,-17.03300284757459,,,
123,4.0,True,1772,2608,,,,,,,,,,,,,,-29.70566896595496,-13.903579736641388,-15.802089229313566,,,
124,4.0,True,1772,2638,,,,,,,,,,,,,,-30.70653904343324,-14.361885411379866,-16.344653632053372,,,
125,4.0,True,1772,2692,,,,,,,,,,,,,,-32.34910124522901,-15.108052443064388,-17.241048802164624,,,
126,4.0,True,1802,2638,,,,,,,,,,,,,,-29.424953486797047,-13.770870711524683,-15.654082775272364,,,
127,4.0,True,1802,2692,,,,,,,,,,,,,,-31.112929039353965,-14.53946820612448,-16.573460833229486,,,
128,4.0,True,1802,2764,,,,,,,,,,,,,,-33.52551592533622,-15.644464179170336,-17.88105174616589,,,
129,4.0,True,1850,2764,,,,,,,,,,,,,,-32.80683328734694,-15.353907403939996,-17.45292588340694,,,
130,4.0,True,1850,2788,,,,,,,,,,,,,,-33.607383478123424,-15.720230021043095,-17.887153457080327,,,
131,4.0,True,1850,2824,,,,,,,,,,,,,,-34.56840296504527,-16.151080063833877,-18.4173229012114,,,
132,4.0,True,1892,2764,,,,,,,,,,,,,,-31.76322524913568,-14.895684137474568,-16.86754111166111,,,
133,4.0,True,1892,2788,,,,,,,,,,,,,,-32.642743048956824,-15.299704703003693,-17.343038345953133,,,
134,4.0,True,1892,2824,,,,,,,,,,,,,,-33.823327357568004,-15.838990362869342,-17.984336994698666,,,
135,4.0,True,1892,2884,,,,,,,,,,,,,,-35.7326956963707,-16.708981552705097,-19.0237141436656,,,
136,4.0,True,1916,2824,,,,,,,,,,,,,,-33.091466330963385,-15.516008665631166,-17.575457665332223,,,
137,4.0,True,1916,2884,,,,,,,,,,,,,,-34.99797626655868,-16.38436563172785,-18.613610634830835,,,
138,4.0,True,1916,2914,,,,,,,,,,,,,,-36.00194480355776,-16.843904782461948,-19.15804002109581,,,
139,4.0,True,1916,2938,,,,,,,,,,,,,,-36.55949344673712,-17.091293198278954,-19.468200248458164,,,
140,4.0,True,1946,2884,,,,,,,,,,,,,,-33.92473565594818,-15.893305209006666,-18.03143044694152,,,
141,4.0,True,1946,2914,,,,,,,,,,,,,,-35.03575162148268,-16.405751216074147,-18.63000040540853,,,
142,4.0,True,1946,2938,,,,,,,,,,,,,,-35.595885352285705,-16.654434840984976,-18.94145051130073,,,
143,4.0,True,2006,2938,,,,,,,,,,,,,,-34.72880335817561,-16.307348789278546,-18.421454568897065,,,
144,4.0,True,2006,2998,,,,,,,,,,,,,,-36.55767470528132,-17.137676566173596,-19.419998139107715,,,
145,4.0,True,2006,3040,,,,,,,,,,,,,,-37.83801903873112,-17.719453643277934,-20.118565395453185,,,
146,4.0,True,2036,2998,,,,,,,,,,,,,,-35.3571625032415,-16.59086820725737,-18.766294295984125,,,
