,rs,baldereschi,E_DCSDT_corr_pe,E_DCSDT_corr_pe_err
0,1.0,1.0,-0.0592121175667917,0.0005389216332355
1,2.0,1.0,-0.0440380962658344,0.0003712024236686
2,3.0,1.0,-0.0360117788394596,0.0002615811127991
3,4.0,1.0,-0.0307424075249694,0.0001795753799123
4,5.0,1.0,-0.0268845126799754,0.0001363970109504
