,rs,baldereschi,E_CCSD_corr_pe,E_CCSD_corr_pe_err
0,1.0,True,-0.0556539773938388,0.0004118546310011
1,2.0,True,-0.0391521416233083,0.0002131703169645
2,3.0,True,-0.030730085226967,0.000140851532544
3,4.0,True,-0.0254428286088704,0.0001032183176743
4,5.0,True,-0.0217677809289699,8.046531654760589e-05
