,rs,baldereschi,E_DCSD_os_corr_pe,E_DCSD_os_corr_pe_err,E_DCSD_s_corr_pe,E_DCSD_s_corr_pe_err,E_DCSD_scs_corr_pe,E_DCSD_scs_corr_pe_err
0,1.0,1.0,-0.0381043374561077,0.0003241205928288,-0.019671722765152,0.0001157577433902,-0.0626320355088378,0.0003654360660966
1,2.0,1.0,-0.0284786645457716,0.0001839143086154,-0.0132047827998964,5.025471536920789e-05,-0.045088097992941,0.0002015725757596
2,3.0,1.0,-0.0231797371068849,0.0001226225372575,-0.0101075574883312,3.30599987283884e-05,-0.03596241507381,0.0001342495820262
3,4.0,1.0,-0.0196765326437901,8.778634806441352e-05,-0.0082376607955009,2.5665875460136045e-05,-0.0301336691908056,9.678601759886356e-05
4,5.0,1.0,-0.0171480018790017,6.581721883689232e-05,-0.0069717763827596,2.15866853559548e-05,-0.0260229448131253,7.343154521670603e-05
