,rs,baldereschi,E_CCSDT_corr_pe,E_CCSDT_corr_pe_err
0,1.0,1.0,-0.0591095582946813,0.0005139326492603
1,2.0,1.0,-0.0436937311759481,0.000300791252283
2,3.0,1.0,-0.0354648726035754,0.0001833912095926
3,4.0,1.0,-0.0300631536531111,0.0001294817182125
4,5.0,1.0,-0.0261700911634667,0.0001024554916413
